Precinct Name,PRCT,TOTVOTING,USPRSR,USPRSDFL,USPRSGP,Year,VTDID (not),VTDID
HAM LAKE P-4,5040,1675,999,634,5,2008,270025040,
HAM LAKE P-5,5050,1881,1131,714,5,2008,270025050,
HAM LAKE P-6,5060,1626,981,615,4,2008,270025060,
HILLTOP P-1,5210,325,86,226,3,2008,270025210,
LEXINGTON P-1,5410,966,437,492,7,2008,270025410,
LINO LAKES P-1,5610,1158,566,556,2,2008,270025610,
LINO LAKES P-2,5620,1740,862,839,4,2008,270025620,
LINO LAKES P-3,5630,1451,691,730,4,2008,270025630,
LINO LAKES P-4,5640,2035,1191,819,1,2008,270025640,
LINO LAKES P-5,5650,1075,512,545,2,2008,270025650,
LINO LAKES P-6,5660,1744,1036,687,1,2008,270025660,
LINO LAKES P-7,5670,1848,1004,816,2,2008,270025670,
LINWOOD P-1,5810,3051,1702,1275,5,2008,270025810,
NOWTHEN P-1,5910,2609,1689,857,4,2008,270025910,
OAK GROVE P-1,6010,1671,992,641,3,2008,270026010,
OAK GROVE P-2,6020,1642,992,608,3,2008,270026020,
OAK GROVE P-3,6030,1414,877,485,1,2008,270026030,
RAMSEY W-1 P-1,6210,2466,1401,1002,8,2008,270026210,
RAMSEY W-1 P-2,6220,1362,814,524,3,2008,270026220,
RAMSEY W-2 P-1,6410,1340,842,484,5,2008,270026410,
RAMSEY W-2 P-2,6420,1625,958,629,1,2008,270026420,
RAMSEY W-3 P-1,6610,1958,1091,819,8,2008,270026610,
RAMSEY W-3 P-2,6620,1035,523,492,1,2008,270026620,
RAMSEY W-4 P-1,6810,1508,817,656,3,2008,270026810,
RAMSEY W-4 P-2,6820,1561,866,663,2,2008,270026820,
SAINT FRANCIS P-1,7010,2118,1175,890,3,2008,270027010,
SAINT FRANCIS P-2,7020,1534,894,602,1,2008,270027020,
SPRING LAKE PARK P-1A,7210,895,412,471,1,2008,270027210,
SPRING LAKE PARK P-2,7220,1302,582,678,5,2008,270027220,
SPRING LAKE PARK P-3,7230,1448,583,830,2,2008,270027230,
ATLANTA TWP,5,39,15,22,0,2008,270030005,
AUDUBON,10,237,120,109,0,2008,270030010,
AUDUBON TWP,15,347,164,165,0,2008,270030015,
BURLINGTON TWP,20,834,492,311,5,2008,270030020,
CALLAWAY,25,94,32,59,1,2008,270030025,
CALLAWAY TWP,30,116,50,63,0,2008,270030030,
CARSONVILLE TWP,35,136,65,70,0,2008,270030035,
CORMORANT TWP,40,710,373,317,1,2008,270030040,
CUBA TWP,45,164,71,87,0,2008,270030045,
DETROIT TWP,50,1188,651,515,0,2008,270030050,
DETROIT LAKES W1 P1,55,1278,588,644,4,2008,270030055,
DETROIT LAKES W1 P2,60,55,30,25,0,2008,270030060,
DETROIT LAKES W2 P1,65,1399,716,637,3,2008,270030065,
DETROIT LAKES W3 P1,75,1430,788,612,3,2008,270030075,
DETROIT LAKES W3 P2,80,84,58,24,0,2008,270030080,
EAGLE VIEW TWP,82,102,40,62,0,2008,270030082,
ERIE TWP,85,976,549,396,5,2008,270030085,
EVERGREEN TWP,90,131,76,50,0,2008,270030090,
FOREST TWP,95,72,41,31,0,2008,270030095,
FRAZEE,100,577,319,236,2,2008,270030100,
GREEN VALLEY TWP,105,167,85,75,0,2008,270030105,
HAMDEN TWP,110,131,53,71,1,2008,270030110,
HEIGHT OF LAND TWP,115,370,203,155,0,2008,270030115,
HOLMESVILLE TWP,120,316,190,117,0,2008,270030120,
LAKE EUNICE TWP,125,917,467,421,1,2008,270030125,
LAKE PARK,130,399,164,228,1,2008,270030130,
LAKE PARK TWP,135,292,133,150,0,2008,270030135,
LAKE VIEW TWP,140,1055,602,426,2,2008,270030140,
MAPLE GROVE TWP,145,186,63,117,0,2008,270030145,
OGEMA,150,50,16,33,0,2008,270030150,
OSAGE TWP,155,461,267,186,1,2008,270030155,
PINE POINT TWP,160,115,18,95,0,2008,270030160,
RICEVILLE TWP,165,46,25,18,0,2008,270030165,
RICHWOOD TWP,170,347,175,160,0,2008,270030170,
ROUND LAKE TWP,175,76,28,45,0,2008,270030175,
RUNEBERG TWP,180,215,136,73,1,2008,270030180,
SAVANNAH TWP,185,118,68,44,0,2008,270030185,
SHELL LAKE TWP,190,155,68,78,0,2008,270030190,
SILVER LEAF TWP,195,248,128,114,2,2008,270030195,
SPRING CREEK TWP,200,43,25,18,0,2008,270030200,
SPRUCE GROVE TWP,205,212,125,81,0,2008,270030205,
SUGAR BUSH TWP,210,268,117,146,1,2008,270030210,
TOAD LAKE TWP,215,263,162,95,0,2008,270030215,
TWO INLETS TWP,220,140,96,43,0,2008,270030220,
WALWORTH TWP,225,46,21,24,0,2008,270030225,
WHITE EARTH TWP,230,303,81,207,0,2008,270030230,
WOLF LAKE,235,24,16,8,0,2008,270030235,
WOLF LAKE TWP,240,106,81,24,1,2008,270030240,
ALASKA TWP,5,124,39,82,0,2008,270040005,
BATTLE TWP,10,19,13,6,0,2008,270040010,
BEMIDJI TWP,15,1687,891,762,4,2008,270040015,
BEMIDJI W-1,20,1041,362,641,4,2008,270040020,
BEMIDJI W-2,25,1000,387,575,5,2008,270040025,
BEMIDJI W-3,30,1825,725,1040,6,2008,270040030,
BEMIDJI W-4,35,1191,498,661,2,2008,270040035,
BEMIDJI W-5,40,1507,636,832,2,2008,270040040,
BENVILLE TWP,45,50,20,28,0,2008,270040045,
BIRCH TWP,50,58,31,25,0,2008,270040050,
BLACKDUCK,55,332,174,156,0,2008,270040055,
BUZZLE TWP,60,169,87,76,0,2008,270040060,
CORMANT TWP,65,84,50,28,0,2008,270040065,
DURAND TWP,70,97,54,41,0,2008,270040070,
ECKLES TWP,75,651,341,290,0,2008,270040075,
FROHN TWP,80,864,427,421,3,2008,270040080,
FUNKLEY,85,3,0,1,0,2008,270040085,
GRANT VALLEY TWP,90,1004,514,470,2,2008,270040090,
HAGALI TWP,95,183,104,76,1,2008,270040095,
HAMRE TWP,100,7,2,5,0,2008,270040100,
HINES TWP,105,393,236,147,2,2008,270040105,
HORNET TWP,110,99,51,46,0,2008,270040110,
JONES TWP,115,118,77,39,0,2008,270040115,
KELLIHER,120,132,65,63,0,2008,270040120,
KELLIHER TWP,125,58,31,26,0,2008,270040125,
LAMMERS TWP,130,284,174,101,2,2008,270040130,
LANGOR TWP,135,89,61,26,0,2008,270040135,
LEE TWP,140,19,10,9,0,2008,270040140,
LIBERTY TWP,145,353,195,152,2,2008,270040145,
MAPLE RIDGE TWP,150,64,22,40,0,2008,270040150,
MINNIE TWP,155,10,6,4,0,2008,270040155,
MOOSE LAKE TWP,160,114,72,37,0,2008,270040160,
NEBISH TWP,165,161,64,91,0,2008,270040165,
NORTHERN TWP P 01,170,2375,1268,1064,2,2008,270040170,
NORTHERN TWP P 02,172,229,114,114,0,2008,270040172,
O'BRIEN TWP,175,31,20,11,0,2008,270040175,
PONEMAH PREC,180,367,20,342,1,2008,270040180,
PORT HOPE TWP,185,416,239,171,2,2008,270040185,
QUIRING TWP,190,39,26,10,0,2008,270040190,
RED LAKE AGENCY PREC,195,888,50,819,1,2008,270040195,
REDBY PREC,200,634,39,585,1,2008,270040200,
LITTLE ROCK,202,355,14,336,0,2008,270040202,
ROOSEVELT TWP,205,144,46,92,1,2008,270040205,
SHOOKS TWP,210,89,68,16,0,2008,270040210,
SHOTLEY TWP,215,34,12,20,0,2008,270040215,
SOLWAY,220,44,30,13,0,2008,270040220,
SPRUCE GROVE TWP,225,35,13,20,0,2008,270040225,
STEENERSON TWP,230,21,8,13,0,2008,270040230,
SUGAR BUSH TWP,235,111,56,55,0,2008,270040235,
SUMMIT TWP,240,165,127,34,0,2008,270040240,
TAYLOR TWP,245,61,35,26,0,2008,270040245,
TEN LAKE TWP,250,478,152,316,2,2008,270040250,
TENSTRIKE,255,98,49,48,0,2008,270040255,
TURTLE LAKE TWP,260,819,465,342,1,2008,270040260,
TURTLE RIVER,265,54,21,31,0,2008,270040265,
TURTLE RIVER TWP,270,694,298,379,0,2008,270040270,
UNORG DIST 1,275,22,9,12,0,2008,270040275,
UNORG DIST 2,280,14,3,11,0,2008,270040280,
UNORG DIST 3,285,101,53,46,0,2008,270040285,
WASKISH TWP,290,69,37,31,0,2008,270040290,
WILTON,295,95,48,47,0,2008,270040295,
WOODROW TWP,300,41,23,18,0,2008,270040300,
ALBERTA TWP,5,386,232,143,0,2008,270050005,
FOLEY,10,1149,620,485,2,2008,270050010,
GILMAN,15,107,56,43,0,2008,270050015,
GILMANTON TWP,20,455,260,173,1,2008,270050020,
GLENDORADO TWP,25,467,283,166,1,2008,270050025,
GRAHAM TWP,30,296,208,79,0,2008,270050030,
GRANITE LEDGE TWP,35,413,277,117,1,2008,270050035,
LANGOLA TWP,40,544,317,202,0,2008,270050040,
MAYHEW LAKE TWP,45,459,277,169,1,2008,270050045,
MAYWOOD TWP,50,493,306,170,3,2008,270050050,
MINDEN TWP P-1,55,1010,628,352,0,2008,270050055,
MINDEN TWP P-2,56,4,3,1,0,2008,270050056,
RICE,60,709,391,284,3,2008,270050060,
RONNEBY,65,27,14,9,1,2008,270050065,
ROYALTON,67,0,0,0,0,2008,270050067,
ST CLOUD W-2 P-1,70,389,145,229,0,2008,270050070,
ST CLOUD W-2 P-2,75,865,362,475,3,2008,270050075,
ST CLOUD W-2 P-3,80,666,262,366,4,2008,270050080,
ST CLOUD W-2 P-4,85,655,239,392,1,2008,270050085,
ST CLOUD W-2 P-8,86,181,94,81,0,2008,270050086,
ST GEORGE TWP,90,665,439,210,0,2008,270050090,
SARTELL,95,1022,539,442,3,2008,270050095,
SAUK RAPIDS P-1,100,1240,597,613,4,2008,270050100,
SAUK RAPIDS P-2,105,1160,597,524,2,2008,270050105,
SAUK RAPIDS P-3,110,1573,839,709,2,2008,270050110,
SAUK RAPIDS P-4,111,1171,588,547,3,2008,270050111,
SAUK RAPIDS P-5,112,794,400,385,1,2008,270050112,
SAUK RAPIDS P-6,113,225,105,115,2,2008,270050113,
SAUK RAPIDS P-7,114,199,109,88,1,2008,270050114,
SAUK RAPIDS TWP P-1,115,97,65,30,0,2008,270050115,
SAUK RAPIDS TWP P-3,117,249,133,106,0,2008,270050117,
WATAB TWP,120,1759,953,749,3,2008,270050120,
AKRON TWP,5,115,34,77,0,2008,270060005,
ALMOND TWP,10,72,25,44,1,2008,270060010,
ARTICHOKE TWP,15,59,21,32,0,2008,270060015,
BARRY,20,11,6,5,0,2008,270060020,
BIG STONE TWP,25,180,110,69,0,2008,270060025,
BROWNS VALLEY TWP,30,90,28,57,0,2008,270060030,
BEARDSLEY,31,112,28,74,2,2008,270060031,
CLINTON,35,225,78,135,0,2008,270060035,
CORRELL,40,23,9,11,0,2008,270060040,
FOSTER TWP,45,92,38,52,0,2008,270060045,
GRACEVILLE,50,342,153,179,0,2008,270060050,
GRACEVILLE TWP,55,52,26,24,0,2008,270060055,
JOHNSON,56,13,8,3,0,2008,270060056,
MALTA TWP,60,53,20,31,2,2008,270060060,
MOONSHINE TWP,65,53,33,18,0,2008,270060065,
ODESSA,70,66,35,28,0,2008,270060070,
ODESSA TWP,75,98,51,41,0,2008,270060075,
ORTONVILLE-P-1,80,723,369,336,0,2008,270060080,
ORTONVILLE-P-2,85,372,176,187,0,2008,270060085,
ORTONVILLE TWP,86,64,36,22,0,2008,270060086,
OTREY TWP,90,64,25,37,0,2008,270060090,
PRIOR TWP,95,112,39,72,0,2008,270060095,
TOQUA TWP,100,32,14,18,0,2008,270060100,
AMBOY,5,300,154,133,0,2008,270070005,
BEAUFORD TWP,10,227,135,88,0,2008,270070010,
