Room,WeekDay,Time,Course,Section,Instructor,Dates
GI226,Wednesday,1300 - 1500,STAT110 - Fundamentals of Statistics,3,FINAL EXAM,05/06/2020 - 05/06/2020
GI226,Wednesday,1530 - 1650,CMST192 - Introduction to Speech Communication,3,Quandt,01/13/2020 - 05/01/2020
GI226,Wednesday,1530 - 1730,STAT110 - Fundamentals of Statistics,7,FINAL EXAM,05/06/2020 - 05/06/2020
GI226,Thursday,0800 - 1000,MATH212 - Calculus I,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI226,Thursday,0800 - 0920,STAT110 - Fundamentals of Statistics,7,Bergen,01/13/2020 - 05/01/2020
GI226,Thursday,0930 - 1050,STAT110 - Fundamentals of Statistics,3,Bergen,01/13/2020 - 05/01/2020
GI226,Thursday,1100 - 1150,MATH212 - Calculus I,1,Leonhardi,01/13/2020 - 05/01/2020
GI226,Thursday,1400 - 1450,MATH117 - Precalculus with Modeling,1,Windsperger,01/13/2020 - 05/01/2020
GI226,Friday,0800 - 0850,MATH050 - Intermediate Algebra,1,Zhang,01/13/2020 - 05/01/2020
GI226,Friday,1000 - 1050,MATH115 - College Algebra,1,Tsegai,01/13/2020 - 05/01/2020
GI226,Friday,1100 - 1150,MATH212 - Calculus I,1,Leonhardi,01/13/2020 - 05/01/2020
GI226,Friday,1300 - 1350,MATH112 - Applied Precalculus,1,Wangberg,01/13/2020 - 05/01/2020
GI226,Friday,1400 - 1450,MATH117 - Precalculus with Modeling,1,Windsperger,01/13/2020 - 05/01/2020
GI302,Monday,0900 - 0950,STAT110 - Fundamentals of Statistics,4,Kerby,01/13/2020 - 05/01/2020
GI302,Monday,1100 - 1150,MATH304 - Middle/Secondary Math Methods,1,Tsegai,01/13/2020 - 05/01/2020
GI302,Monday,1300 - 1350,STAT310 - Intermediate Statistics,1,Hooks,01/13/2020 - 05/01/2020
GI302,Monday,1300 - 1500,STAT310 - Intermediate Statistics,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI302,Tuesday,0800 - 1000,STAT110 - Fundamentals of Statistics,4,FINAL EXAM,05/05/2020 - 05/05/2020
GI302,Tuesday,1100 - 1250,MATH202 - Elements of Mathematics,2,Zhang,01/13/2020 - 04/17/2020
GI302,Tuesday,1300 - 1500,DSCI325 - Management of Structured Data,1,FINAL EXAM,05/05/2020 - 05/05/2020
